Component,Units,Author,Species,Weight,Feed,Typefood,Value,concatenate
Water,g/100g,Barker et al 1998,Mealworm,Dry weight,commercial size small,Future foods,62.9,Barker et al 1998_Mealworm_Dry weight_commercial size small_Future foods
Protein (g),g/100g,Barker et al 1998,Mealworm,Dry weight,commercial size small,Future foods,51.875,Barker et al 1998_Mealworm_Dry weight_commercial size small_Future foods
Chitin corrected protein,g/100g,Barker et al 1998,Mealworm,Dry weight,commercial size small,Future foods,NA,Barker et al 1998_Mealworm_Dry weight_commercial size small_Future foods
Chitin,g/100g,Barker et al 1998,Mealworm,Dry weight,commercial size small,Future foods,NA,Barker et al 1998_Mealworm_Dry weight_commercial size small_Future foods
Ca (mg),mg/100g,Barker et al 1998,Mealworm,Dry weight,commercial size small,Future foods,120,Barker et al 1998_Mealworm_Dry weight_commercial size small_Future foods
I (ug),ug/100g,Barker et al 1998,Mealworm,Dry weight,commercial size small,Future foods,NA,Barker et al 1998_Mealworm_Dry weight_commercial size small_Future foods
Fe (mg),mg/100g,Barker et al 1998,Mealworm,Dry weight,commercial size small,Future foods,3.97,Barker et al 1998_Mealworm_Dry weight_commercial size small_Future foods
Zn (mg),mg/100g,Barker et al 1998,Mealworm,Dry weight,commercial size small,Future foods,13.102,Barker et al 1998_Mealworm_Dry weight_commercial size small_Future foods
Vit. B12 (ug),ug/100g,Barker et al 1998,Mealworm,Dry weight,commercial size small,Future foods,NA,Barker et al 1998_Mealworm_Dry weight_commercial size small_Future foods
Vitamin D2(µg),ug/100g,Barker et al 1998,Mealworm,Dry weight,commercial size small,Future foods,NA,Barker et al 1998_Mealworm_Dry weight_commercial size small_Future foods
Vitamin D3,ug/100g,Barker et al 1998,Mealworm,Dry weight,commercial size small,Future foods,NA,Barker et al 1998_Mealworm_Dry weight_commercial size small_Future foods
Vit. D (ug),ug/100g,Barker et al 1998,Mealworm,Dry weight,commercial size small,Future foods,NA,Barker et al 1998_Mealworm_Dry weight_commercial size small_Future foods
ALA 18:3 n-3 (g),g/100g,Barker et al 1998,Mealworm,Dry weight,commercial size small,Future foods,NA,Barker et al 1998_Mealworm_Dry weight_commercial size small_Future foods
EPA 20:5 n-3 (g),g/100g,Barker et al 1998,Mealworm,Dry weight,commercial size small,Future foods,NA,Barker et al 1998_Mealworm_Dry weight_commercial size small_Future foods
DPA 22:5 n-3 (g),g/100g,Barker et al 1998,Mealworm,Dry weight,commercial size small,Future foods,NA,Barker et al 1998_Mealworm_Dry weight_commercial size small_Future foods
DHA 22:6 n-3 (g),g/100g,Barker et al 1998,Mealworm,Dry weight,commercial size small,Future foods,NA,Barker et al 1998_Mealworm_Dry weight_commercial size small_Future foods
Vit. A (ug),ug/100g,Barker et al 1998,Mealworm,Dry weight,commercial size small,Future foods,81.1,Barker et al 1998_Mealworm_Dry weight_commercial size small_Future foods
Water,g/100g,Barker et al 1998,Mealworm,Dry weight,commercial size large,Future foods,58.3,Barker et al 1998_Mealworm_Dry weight_commercial size large_Future foods
Protein (g),g/100g,Barker et al 1998,Mealworm,Dry weight,commercial size large,Future foods,48.125,Barker et al 1998_Mealworm_Dry weight_commercial size large_Future foods
Chitin corrected protein,g/100g,Barker et al 1998,Mealworm,Dry weight,commercial size large,Future foods,NA,Barker et al 1998_Mealworm_Dry weight_commercial size large_Future foods
Chitin,g/100g,Barker et al 1998,Mealworm,Dry weight,commercial size large,Future foods,NA,Barker et al 1998_Mealworm_Dry weight_commercial size large_Future foods
Ca (mg),mg/100g,Barker et al 1998,Mealworm,Dry weight,commercial size large,Future foods,30,Barker et al 1998_Mealworm_Dry weight_commercial size large_Future foods
I (ug),ug/100g,Barker et al 1998,Mealworm,Dry weight,commercial size large,Future foods,NA,Barker et al 1998_Mealworm_Dry weight_commercial size large_Future foods
Fe (mg),mg/100g,Barker et al 1998,Mealworm,Dry weight,commercial size large,Future foods,2.585,Barker et al 1998_Mealworm_Dry weight_commercial size large_Future foods
Zn (mg),mg/100g,Barker et al 1998,Mealworm,Dry weight,commercial size large,Future foods,8.284,Barker et al 1998_Mealworm_Dry weight_commercial size large_Future foods
Vit. B12 (ug),ug/100g,Barker et al 1998,Mealworm,Dry weight,commercial size large,Future foods,NA,Barker et al 1998_Mealworm_Dry weight_commercial size large_Future foods
Vitamin D2(µg),ug/100g,Barker et al 1998,Mealworm,Dry weight,commercial size large,Future foods,NA,Barker et al 1998_Mealworm_Dry weight_commercial size large_Future foods
Vitamin D3,ug/100g,Barker et al 1998,Mealworm,Dry weight,commercial size large,Future foods,NA,Barker et al 1998_Mealworm_Dry weight_commercial size large_Future foods
Vit. D (ug),ug/100g,Barker et al 1998,Mealworm,Dry weight,commercial size large,Future foods,NA,Barker et al 1998_Mealworm_Dry weight_commercial size large_Future foods
ALA 18:3 n-3 (g),g/100g,Barker et al 1998,Mealworm,Dry weight,commercial size large,Future foods,NA,Barker et al 1998_Mealworm_Dry weight_commercial size large_Future foods
EPA 20:5 n-3 (g),g/100g,Barker et al 1998,Mealworm,Dry weight,commercial size large,Future foods,NA,Barker et al 1998_Mealworm_Dry weight_commercial size large_Future foods
DPA 22:5 n-3 (g),g/100g,Barker et al 1998,Mealworm,Dry weight,commercial size large,Future foods,NA,Barker et al 1998_Mealworm_Dry weight_commercial size large_Future foods
DHA 22:6 n-3 (g),g/100g,Barker et al 1998,Mealworm,Dry weight,commercial size large,Future foods,NA,Barker et al 1998_Mealworm_Dry weight_commercial size large_Future foods
Vit. A (ug),ug/100g,Barker et al 1998,Mealworm,Dry weight,commercial size large,Future foods,16.1,Barker et al 1998_Mealworm_Dry weight_commercial size large_Future foods
Water,g/100g,Yi et al 2013,Mealworm,Dry weight,commercial wheat wheat bran oats soy rye corn carrot and beer yeast,Future foods,65.3,Yi et al 2013_Mealworm_Dry weight_commercial wheat wheat bran oats soy rye corn carrot and beer yeast_Future foods
Protein (g),g/100g,Yi et al 2013,Mealworm,Dry weight,commercial wheat wheat bran oats soy rye corn carrot and beer yeast,Future foods,55.04322767,Yi et al 2013_Mealworm_Dry weight_commercial wheat wheat bran oats soy rye corn carrot and beer yeast_Future foods
Chitin corrected protein,g/100g,Yi et al 2013,Mealworm,Dry weight,commercial wheat wheat bran oats soy rye corn carrot and beer yeast,Future foods,NA,Yi et al 2013_Mealworm_Dry weight_commercial wheat wheat bran oats soy rye corn carrot and beer yeast_Future foods
Chitin,g/100g,Yi et al 2013,Mealworm,Dry weight,commercial wheat wheat bran oats soy rye corn carrot and beer yeast,Future foods,NA,Yi et al 2013_Mealworm_Dry weight_commercial wheat wheat bran oats soy rye corn carrot and beer yeast_Future foods
Ca (mg),mg/100g,Yi et al 2013,Mealworm,Dry weight,commercial wheat wheat bran oats soy rye corn carrot and beer yeast,Future foods,NA,Yi et al 2013_Mealworm_Dry weight_commercial wheat wheat bran oats soy rye corn carrot and beer yeast_Future foods
I (ug),ug/100g,Yi et al 2013,Mealworm,Dry weight,commercial wheat wheat bran oats soy rye corn carrot and beer yeast,Future foods,NA,Yi et al 2013_Mealworm_Dry weight_commercial wheat wheat bran oats soy rye corn carrot and beer yeast_Future foods
Fe (mg),mg/100g,Yi et al 2013,Mealworm,Dry weight,commercial wheat wheat bran oats soy rye corn carrot and beer yeast,Future foods,NA,Yi et al 2013_Mealworm_Dry weight_commercial wheat wheat bran oats soy rye corn carrot and beer yeast_Future foods
Zn (mg),mg/100g,Yi et al 2013,Mealworm,Dry weight,commercial wheat wheat bran oats soy rye corn carrot and beer yeast,Future foods,NA,Yi et al 2013_Mealworm_Dry weight_commercial wheat wheat bran oats soy rye corn carrot and beer yeast_Future foods
Vit. B12 (ug),ug/100g,Yi et al 2013,Mealworm,Dry weight,commercial wheat wheat bran oats soy rye corn carrot and beer yeast,Future foods,NA,Yi et al 2013_Mealworm_Dry weight_commercial wheat wheat bran oats soy rye corn carrot and beer yeast_Future foods
Vitamin D2(µg),ug/100g,Yi et al 2013,Mealworm,Dry weight,commercial wheat wheat bran oats soy rye corn carrot and beer yeast,Future foods,NA,Yi et al 2013_Mealworm_Dry weight_commercial wheat wheat bran oats soy rye corn carrot and beer yeast_Future foods
Vitamin D3,ug/100g,Yi et al 2013,Mealworm,Dry weight,commercial wheat wheat bran oats soy rye corn carrot and beer yeast,Future foods,NA,Yi et al 2013_Mealworm_Dry weight_commercial wheat wheat bran oats soy rye corn carrot and beer yeast_Future foods
Vit. D (ug),ug/100g,Yi et al 2013,Mealworm,Dry weight,commercial wheat wheat bran oats soy rye corn carrot and beer yeast,Future foods,NA,Yi et al 2013_Mealworm_Dry weight_commercial wheat wheat bran oats soy rye corn carrot and beer yeast_Future foods
ALA 18:3 n-3 (g),g/100g,Yi et al 2013,Mealworm,Dry weight,commercial wheat wheat bran oats soy rye corn carrot and beer yeast,Future foods,NA,Yi et al 2013_Mealworm_Dry weight_commercial wheat wheat bran oats soy rye corn carrot and beer yeast_Future foods
EPA 20:5 n-3 (g),g/100g,Yi et al 2013,Mealworm,Dry weight,commercial wheat wheat bran oats soy rye corn carrot and beer yeast,Future foods,NA,Yi et al 2013_Mealworm_Dry weight_commercial wheat wheat bran oats soy rye corn carrot and beer yeast_Future foods
DPA 22:5 n-3 (g),g/100g,Yi et al 2013,Mealworm,Dry weight,commercial wheat wheat bran oats soy rye corn carrot and beer yeast,Future foods,NA,Yi et al 2013_Mealworm_Dry weight_commercial wheat wheat bran oats soy rye corn carrot and beer yeast_Future foods
DHA 22:6 n-3 (g),g/100g,Yi et al 2013,Mealworm,Dry weight,commercial wheat wheat bran oats soy rye corn carrot and beer yeast,Future foods,NA,Yi et al 2013_Mealworm_Dry weight_commercial wheat wheat bran oats soy rye corn carrot and beer yeast_Future foods
Vit. A (ug),ug/100g,Yi et al 2013,Mealworm,Dry weight,commercial wheat wheat bran oats soy rye corn carrot and beer yeast,Future foods,NA,Yi et al 2013_Mealworm_Dry weight_commercial wheat wheat bran oats soy rye corn carrot and beer yeast_Future foods
Water,g/100g,de Marco et al 2015,Mealworm,Dry weight,Commertial Germany,Future foods,62.28,de Marco et al 2015_Mealworm_Dry weight_Commertial Germany_Future foods
Protein (g),g/100g,de Marco et al 2015,Mealworm,Dry weight,Commertial Germany,Future foods,55.2742616,de Marco et al 2015_Mealworm_Dry weight_Commertial Germany_Future foods
Chitin corrected protein,g/100g,de Marco et al 2015,Mealworm,Dry weight,Commertial Germany,Future foods,NA,de Marco et al 2015_Mealworm_Dry weight_Commertial Germany_Future foods
Chitin,g/100g,de Marco et al 2015,Mealworm,Dry weight,Commertial Germany,Future foods,NA,de Marco et al 2015_Mealworm_Dry weight_Commertial Germany_Future foods
Ca (mg),mg/100g,de Marco et al 2015,Mealworm,Dry weight,Commertial Germany,Future foods,NA,de Marco et al 2015_Mealworm_Dry weight_Commertial Germany_Future foods
I (ug),ug/100g,de Marco et al 2015,Mealworm,Dry weight,Commertial Germany,Future foods,NA,de Marco et al 2015_Mealworm_Dry weight_Commertial Germany_Future foods
Fe (mg),mg/100g,de Marco et al 2015,Mealworm,Dry weight,Commertial Germany,Future foods,NA,de Marco et al 2015_Mealworm_Dry weight_Commertial Germany_Future foods
Zn (mg),mg/100g,de Marco et al 2015,Mealworm,Dry weight,Commertial Germany,Future foods,NA,de Marco et al 2015_Mealworm_Dry weight_Commertial Germany_Future foods
Vit. B12 (ug),ug/100g,de Marco et al 2015,Mealworm,Dry weight,Commertial Germany,Future foods,NA,de Marco et al 2015_Mealworm_Dry weight_Commertial Germany_Future foods
Vitamin D2(µg),ug/100g,de Marco et al 2015,Mealworm,Dry weight,Commertial Germany,Future foods,NA,de Marco et al 2015_Mealworm_Dry weight_Commertial Germany_Future foods
Vitamin D3,ug/100g,de Marco et al 2015,Mealworm,Dry weight,Commertial Germany,Future foods,NA,de Marco et al 2015_Mealworm_Dry weight_Commertial Germany_Future foods
Vit. D (ug),ug/100g,de Marco et al 2015,Mealworm,Dry weight,Commertial Germany,Future foods,NA,de Marco et al 2015_Mealworm_Dry weight_Commertial Germany_Future foods
ALA 18:3 n-3 (g),g/100g,de Marco et al 2015,Mealworm,Dry weight,Commertial Germany,Future foods,NA,de Marco et al 2015_Mealworm_Dry weight_Commertial Germany_Future foods
EPA 20:5 n-3 (g),g/100g,de Marco et al 2015,Mealworm,Dry weight,Commertial Germany,Future foods,NA,de Marco et al 2015_Mealworm_Dry weight_Commertial Germany_Future foods
DPA 22:5 n-3 (g),g/100g,de Marco et al 2015,Mealworm,Dry weight,Commertial Germany,Future foods,NA,de Marco et al 2015_Mealworm_Dry weight_Commertial Germany_Future foods
DHA 22:6 n-3 (g),g/100g,de Marco et al 2015,Mealworm,Dry weight,Commertial Germany,Future foods,NA,de Marco et al 2015_Mealworm_Dry weight_Commertial Germany_Future foods
Vit. A (ug),ug/100g,de Marco et al 2015,Mealworm,Dry weight,Commertial Germany,Future foods,NA,de Marco et al 2015_Mealworm_Dry weight_Commertial Germany_Future foods
Water,g/100g,Ravzanaadii et al 2012,Mealworm,Dry weight,wheat bran and vegetables,Future foods,62.28,Ravzanaadii et al 2012_Mealworm_Dry weight_wheat bran and vegetables_Future foods
Protein (g),g/100g,Ravzanaadii et al 2012,Mealworm,Dry weight,wheat bran and vegetables,Future foods,46.44,Ravzanaadii et al 2012_Mealworm_Dry weight_wheat bran and vegetables_Future foods
Chitin corrected protein,g/100g,Ravzanaadii et al 2012,Mealworm,Dry weight,wheat bran and vegetables,Future foods,NA,Ravzanaadii et al 2012_Mealworm_Dry weight_wheat bran and vegetables_Future foods
Chitin,g/100g,Ravzanaadii et al 2012,Mealworm,Dry weight,wheat bran and vegetables,Future foods,NA,Ravzanaadii et al 2012_Mealworm_Dry weight_wheat bran and vegetables_Future foods
Ca (mg),mg/100g,Ravzanaadii et al 2012,Mealworm,Dry weight,wheat bran and vegetables,Future foods,43.459,Ravzanaadii et al 2012_Mealworm_Dry weight_wheat bran and vegetables_Future foods
I (ug),ug/100g,Ravzanaadii et al 2012,Mealworm,Dry weight,wheat bran and vegetables,Future foods,NA,Ravzanaadii et al 2012_Mealworm_Dry weight_wheat bran and vegetables_Future foods
Fe (mg),mg/100g,Ravzanaadii et al 2012,Mealworm,Dry weight,wheat bran and vegetables,Future foods,6.687,Ravzanaadii et al 2012_Mealworm_Dry weight_wheat bran and vegetables_Future foods
Zn (mg),mg/100g,Ravzanaadii et al 2012,Mealworm,Dry weight,wheat bran and vegetables,Future foods,10.428,Ravzanaadii et al 2012_Mealworm_Dry weight_wheat bran and vegetables_Future foods
Vit. B12 (ug),ug/100g,Ravzanaadii et al 2012,Mealworm,Dry weight,wheat bran and vegetables,Future foods,NA,Ravzanaadii et al 2012_Mealworm_Dry weight_wheat bran and vegetables_Future foods
Vitamin D2(µg),ug/100g,Ravzanaadii et al 2012,Mealworm,Dry weight,wheat bran and vegetables,Future foods,NA,Ravzanaadii et al 2012_Mealworm_Dry weight_wheat bran and vegetables_Future foods
Vitamin D3,ug/100g,Ravzanaadii et al 2012,Mealworm,Dry weight,wheat bran and vegetables,Future foods,NA,Ravzanaadii et al 2012_Mealworm_Dry weight_wheat bran and vegetables_Future foods
Vit. D (ug),ug/100g,Ravzanaadii et al 2012,Mealworm,Dry weight,wheat bran and vegetables,Future foods,NA,Ravzanaadii et al 2012_Mealworm_Dry weight_wheat bran and vegetables_Future foods
ALA 18:3 n-3 (g),g/100g,Ravzanaadii et al 2012,Mealworm,Dry weight,wheat bran and vegetables,Future foods,0.626728111,Ravzanaadii et al 2012_Mealworm_Dry weight_wheat bran and vegetables_Future foods
EPA 20:5 n-3 (g),g/100g,Ravzanaadii et al 2012,Mealworm,Dry weight,wheat bran and vegetables,Future foods,NA,Ravzanaadii et al 2012_Mealworm_Dry weight_wheat bran and vegetables_Future foods
DPA 22:5 n-3 (g),g/100g,Ravzanaadii et al 2012,Mealworm,Dry weight,wheat bran and vegetables,Future foods,NA,Ravzanaadii et al 2012_Mealworm_Dry weight_wheat bran and vegetables_Future foods
DHA 22:6 n-3 (g),g/100g,Ravzanaadii et al 2012,Mealworm,Dry weight,wheat bran and vegetables,Future foods,NA,Ravzanaadii et al 2012_Mealworm_Dry weight_wheat bran and vegetables_Future foods
Vit. A (ug),ug/100g,Ravzanaadii et al 2012,Mealworm,Dry weight,wheat bran and vegetables,Future foods,NA,Ravzanaadii et al 2012_Mealworm_Dry weight_wheat bran and vegetables_Future foods
Water,g/100g,Morales Ramons 2015,Mealworm,Dry weight,95%wheat bran and 5% drypotatoes,Future foods,62.832,Morales-Ramons 2015_Mealworm_Dry weight_95%wheat bran and 5% drypotatoes_Future foods
Protein (g),g/100g,Morales Ramons 2015,Mealworm,Dry weight,95%wheat bran and 5% drypotatoes,Future foods,53.06,Morales-Ramons 2015_Mealworm_Dry weight_95%wheat bran and 5% drypotatoes_Future foods
Chitin corrected protein,g/100g,Morales Ramons 2015,Mealworm,Dry weight,95%wheat bran and 5% drypotatoes,Future foods,NA,Morales-Ramons 2015_Mealworm_Dry weight_95%wheat bran and 5% drypotatoes_Future foods
Chitin,g/100g,Morales Ramons 2015,Mealworm,Dry weight,95%wheat bran and 5% drypotatoes,Future foods,NA,Morales-Ramons 2015_Mealworm_Dry weight_95%wheat bran and 5% drypotatoes_Future foods
Ca (mg),mg/100g,Morales Ramons 2015,Mealworm,Dry weight,95%wheat bran and 5% drypotatoes,Future foods,NA,Morales-Ramons 2015_Mealworm_Dry weight_95%wheat bran and 5% drypotatoes_Future foods
I (ug),ug/100g,Morales Ramons 2015,Mealworm,Dry weight,95%wheat bran and 5% drypotatoes,Future foods,NA,Morales-Ramons 2015_Mealworm_Dry weight_95%wheat bran and 5% drypotatoes_Future foods
Fe (mg),mg/100g,Morales Ramons 2015,Mealworm,Dry weight,95%wheat bran and 5% drypotatoes,Future foods,NA,Morales-Ramons 2015_Mealworm_Dry weight_95%wheat bran and 5% drypotatoes_Future foods
Zn (mg),mg/100g,Morales Ramons 2015,Mealworm,Dry weight,95%wheat bran and 5% drypotatoes,Future foods,NA,Morales-Ramons 2015_Mealworm_Dry weight_95%wheat bran and 5% drypotatoes_Future foods
Vit. B12 (ug),ug/100g,Morales Ramons 2015,Mealworm,Dry weight,95%wheat bran and 5% drypotatoes,Future foods,NA,Morales-Ramons 2015_Mealworm_Dry weight_95%wheat bran and 5% drypotatoes_Future foods
Vitamin D2(µg),ug/100g,Morales Ramons 2015,Mealworm,Dry weight,95%wheat bran and 5% drypotatoes,Future foods,NA,Morales-Ramons 2015_Mealworm_Dry weight_95%wheat bran and 5% drypotatoes_Future foods
Vitamin D3,ug/100g,Morales Ramons 2015,Mealworm,Dry weight,95%wheat bran and 5% drypotatoes,Future foods,NA,Morales-Ramons 2015_Mealworm_Dry weight_95%wheat bran and 5% drypotatoes_Future foods
Vit. D (ug),ug/100g,Morales Ramons 2015,Mealworm,Dry weight,95%wheat bran and 5% drypotatoes,Future foods,NA,Morales-Ramons 2015_Mealworm_Dry weight_95%wheat bran and 5% drypotatoes_Future foods
